1758906000000000,3.45400000,3.66200000,3.45100000,3.61000000,649988.59000000,1758909599999999,2320181.93098000,11235,350897.16000000,1251446.83861000,0
1758909600000000,3.61000000,3.66600000,3.53600000,3.62200000,573323.44000000,1758913199999999,2069805.28460000,10978,266234.61000000,961536.70728000,0
1758913200000000,3.62200000,3.62200000,3.54200000,3.58000000,268159.83000000,1758916799999999,958652.34572000,6307,126990.32000000,454055.90739000,0
1758916800000000,3.57900000,3.64100000,3.56500000,3.57800000,377044.67000000,1758920399999999,1356913.85106000,7092,199596.64000000,718171.76462000,0
1758920400000000,3.57700000,3.68800000,3.57500000,3.66700000,272327.69000000,1758923999999999,988820.92737000,6001,150413.79000000,545934.98237000,0
1758924000000000,3.67000000,3.75300000,3.65000000,3.71000000,279590.04000000,1758927599999999,1031802.02345000,6938,162561.81000000,599904.39949000,0
1758927600000000,3.71200000,3.72300000,3.63600000,3.67900000,255256.66000000,1758931199999999,938283.96578000,7510,124570.37000000,457910.58660000,0
1758931200000000,3.68000000,3.68900000,3.56600000,3.59300000,321343.50000000,1758934799999999,1157326.10337000,9198,173118.95000000,623677.61283000,0
1758934800000000,3.59400000,3.75600000,3.59400000,3.65900000,422217.31000000,1758938399999999,1555884.69533000,10485,201597.34000000,742697.93369000,0
1758938400000000,3.65900000,3.68800000,3.59600000,3.64400000,255565.68000000,1758941999999999,929530.91782000,6416,139769.51000000,508380.87510000,0
1758942000000000,3.64400000,3.69300000,3.59600000,3.66000000,294444.33000000,1758945599999999,1073144.71903000,6997,149695.35000000,545314.47385000,0
1758945600000000,3.66000000,3.74900000,3.64900000,3.73100000,274101.13000000,1758949199999999,1013042.21822000,7043,140176.42000000,518070.36498000,0
1758949200000000,3.72900000,3.83000000,3.69000000,3.78800000,374890.73000000,1758952799999999,1411360.96273000,9476,194863.83000000,733689.28830000,0
1758952800000000,3.79000000,3.92200000,3.78200000,3.86600000,628811.86000000,1758956399999999,2428913.77186000,14614,322033.86000000,1243259.80395000,0
1758956400000000,3.86700000,3.99600000,3.81300000,3.83000000,705910.00000000,1758959999999999,2760114.01519000,17775,357798.69000000,1399342.80108000,0
1758960000000000,3.83000000,3.86300000,3.68500000,3.70100000,468980.16000000,1758963599999999,1769889.56446000,11473,213304.91000000,805887.61761000,0
1758963600000000,3.70000000,3.70600000,3.54100000,3.57000000,461698.78000000,1758967199999999,1666269.05110000,12845,207240.86000000,747468.53478000,0
1758967200000000,3.56900000,3.56900000,3.47100000,3.53500000,336579.03000000,1758970799999999,1186491.45035000,9085,172017.64000000,606563.67839000,0
1758970800000000,3.53500000,3.54800000,3.49100000,3.50300000,196965.48000000,1758974399999999,693733.69968000,5493,104904.04000000,369609.75070000,0
1758974400000000,3.50200000,3.61300000,3.45300000,3.60200000,358692.85000000,1758977999999999,1265839.81605000,9956,177796.48000000,628176.24262000,0
1758978000000000,3.60200000,3.69100000,3.53800000,3.57500000,428878.73000000,1758981599999999,1548408.84154000,11447,202203.15000000,729435.14102000,0
1758981600000000,3.57500000,3.65800000,3.56400000,3.62500000,289953.16000000,1758985199999999,1049908.93519000,8181,149183.37000000,540201.62328000,0
1758985200000000,3.62300000,3.63300000,3.53400000,3.59100000,304811.84000000,1758988799999999,1092806.90643000,7622,149677.40000000,536899.27601000,0
1758988800000000,3.59100000,3.61200000,3.52900000,3.55300000,254383.17000000,1758992399999999,908841.56246000,6311,107650.83000000,385053.72857000,0
1758992400000000,3.55400000,3.56800000,3.46900000,3.51500000,227715.38000000,1758995999999999,800349.24818000,5879,111063.32000000,390555.84176000,0
1758996000000000,3.51500000,3.68100000,3.49000000,3.67000000,211708.90000000,1758999599999999,757578.45820000,5552,127223.64000000,455773.62570000,0
1758999600000000,3.66900000,3.68800000,3.61900000,3.62800000,224134.05000000,1759003199999999,818224.45786000,7208,102932.02000000,375808.35665000,0
1759003200000000,3.62800000,3.67500000,3.58000000,3.61400000,211341.29000000,1759006799999999,767980.77306000,5100,96689.86000000,351668.61934000,0
1759006800000000,3.61300000,3.67300000,3.58100000,3.66000000,163227.91000000,1759010399999999,592225.49222000,4238,96076.15000000,348774.88874000,0
1759010400000000,3.65900000,3.75500000,3.64800000,3.72200000,260920.39000000,1759013999999999,964828.37756000,7472,153514.05000000,567596.89217000,0
1759014000000000,3.72100000,3.75500000,3.69000000,3.73100000,251399.34000000,1759017599999999,934134.37861000,7560,142169.94000000,528270.11429000,0
1759017600000000,3.73100000,3.78700000,3.58500000,3.60300000,358950.71000000,1759021199999999,1313899.14537000,10480,180048.41000000,659821.56045000,0
1759021200000000,3.60300000,3.61300000,3.51100000,3.55100000,197861.09000000,1759024799999999,703728.05008000,5852,97817.61000000,347838.58891000,0
1759024800000000,3.55000000,3.73100000,3.51300000,3.66200000,561629.84000000,1759028399999999,2044961.12574000,12935,330350.14000000,1201129.36358000,0
1759028400000000,3.66300000,3.71700000,3.61000000,3.63100000,242059.55000000,1759031999999999,884883.13087000,6436,122330.93000000,447905.63617000,0
1759032000000000,3.63200000,3.67100000,3.54100000,3.54700000,215277.65000000,1759035599999999,776844.18618000,5844,102456.33000000,370198.78018000,0
1759035600000000,3.54500000,3.57600000,3.50000000,3.54300000,193605.54000000,1759039199999999,684639.85605000,5359,105714.95000000,373858.49437000,0
1759039200000000,3.54200000,3.54700000,3.45300000,3.50100000,304721.37000000,1759042799999999,1063113.77987000,6428,186502.52000000,650556.31368000,0
1759042800000000,3.50100000,3.60400000,3.49000000,3.55200000,233037.43000000,1759046399999999,828219.01788000,5888,134448.38000000,477818.19323000,0
1759046400000000,3.55000000,3.56300000,3.48000000,3.49100000,159691.97000000,1759049999999999,561881.52182000,4650,73772.86000000,259692.23249000,0
1759050000000000,3.49200000,3.51600000,3.46700000,3.48200000,134168.59000000,1759053599999999,467471.82722000,3607,66328.40000000,231318.19905000,0
1759053600000000,3.48200000,3.58000000,3.45000000,3.54900000,155405.15000000,1759057199999999,547386.11855000,5014,77891.44000000,274496.35012000,0
1759057200000000,3.54900000,3.61000000,3.47200000,3.59200000,368860.57000000,1759060799999999,1309053.83701000,9097,169478.54000000,601151.31096000,0
1759060800000000,3.59300000,3.67600000,3.58800000,3.60100000,442198.42000000,1759064399999999,1604451.54619000,12211,225614.53000000,818702.08812000,0
1759064400000000,3.60100000,3.62500000,3.54300000,3.58600000,328146.86000000,1759067999999999,1174869.41636000,8637,171376.38000000,613421.80574000,0
1759068000000000,3.58600000,3.60900000,3.53900000,3.59100000,256247.41000000,1759071599999999,913232.28430000,6818,123615.62000000,440544.28160000,0
1759071600000000,3.59000000,3.65700000,3.56400000,3.60800000,267925.60000000,1759075199999999,969612.64132000,7115,139215.94000000,503721.14342000,0
1759075200000000,3.60700000,3.73100000,3.56100000,3.71000000,369710.35000000,1759078799999999,1350339.39173000,9693,193785.76000000,707827.31735000,0
1759078800000000,3.70900000,3.88600000,3.70100000,3.87400000,762947.41000000,1759082399999999,2890527.55013000,17981,400475.28000000,1518664.89990000,0
1759082400000000,3.87300000,3.88100000,3.67400000,3.68700000,412098.06000000,1759085999999999,1544030.68921000,9522,175341.60000000,657585.93911000,0
1759086000000000,3.68800000,3.72300000,3.64800000,3.66600000,167131.52000000,1759089599999999,615845.59348000,4883,82416.92000000,303978.19720000,0
1759089600000000,3.66700000,3.76300000,3.65700000,3.73300000,201496.34000000,1759093199999999,745548.11748000,5448,115455.90000000,427225.05053000,0
1759093200000000,3.73400000,3.81200000,3.69000000,3.76800000,303255.94000000,1759096799999999,1140040.15739000,7158,161886.22000000,608860.77414000,0
1759096800000000,3.76900000,3.81400000,3.72200000,3.75800000,528207.05000000,1759100399999999,1989190.02605000,9336,250621.28000000,943839.84998000,0
1759100400000000,3.75900000,3.77700000,3.70000000,3.72300000,239787.05000000,1759103999999999,892570.01477000,5398,121624.00000000,452810.08421000,0
1759104000000000,3.72400000,3.73800000,3.61000000,3.65800000,402518.93000000,1759107599999999,1475557.54599000,8916,198994.48000000,729155.55054000,0
1759107600000000,3.65400000,3.66100000,3.53400000,3.54100000,324222.61000000,1759111199999999,1164851.07217000,6067,129767.05000000,466725.63690000,0
1759111200000000,3.54100000,3.56400000,3.52100000,3.53200000,208931.58000000,1759114799999999,739691.49437000,4344,102833.53000000,364144.47427000,0
1759114800000000,3.53200000,3.70200000,3.52400000,3.69200000,706734.37000000,1759118399999999,2565564.90915000,9805,393020.69000000,1424254.74713000,0
1759118400000000,3.69200000,3.79400000,3.66600000,3.70800000,712986.69000000,1759121999999999,2655512.34924000,11948,303435.25000000,1130928.24500000,0
1759122000000000,3.70700000,3.70900000,3.61300000,3.66000000,300982.60000000,1759125599999999,1101040.43466000,6713,148568.41000000,543502.62057000,0
1759125600000000,3.65900000,3.71900000,3.61000000,3.68900000,225112.09000000,1759129199999999,824303.61602000,5124,116961.17000000,428522.81973000,0
1759129200000000,3.68800000,3.74300000,3.62200000,3.65500000,234164.18000000,1759132799999999,862758.58784000,5541,113420.47000000,418071.78404000,0
1759132800000000,3.65600000,3.67800000,3.59500000,3.59900000,169498.17000000,1759136399999999,616627.09763000,4420,89282.54000000,325038.55304000,0
1759136400000000,3.59600000,3.59900000,3.54400000,3.57700000,285848.72000000,1759139999999999,1020390.03677000,8465,133990.57000000,478156.63155000,0
1759140000000000,3.57700000,3.57700000,3.50400000,3.50800000,251540.59000000,1759143599999999,891074.83900000,8808,109499.23000000,387871.51958000,0
1759143600000000,3.50800000,3.51200000,3.37300000,3.42800000,456507.17000000,1759147199999999,1567039.68808000,10806,218941.80000000,750626.17126000,0
1759147200000000,3.42900000,3.43200000,3.24500000,3.25100000,482548.53000000,1759150799999999,1609959.39648000,9149,196726.85000000,656034.85282000,0
1759150800000000,3.25200000,3.32700000,3.22100000,3.27300000,502151.23000000,1759154399999999,1639876.74255000,9677,253019.07000000,826270.05939000,0
1759154400000000,3.27400000,3.29200000,3.13400000,3.14100000,713928.21000000,1759157999999999,2281555.51510000,11202,288727.98000000,923976.54486000,0
1759158000000000,3.14000000,3.14000000,2.84300000,2.85900000,1201658.56000000,1759161599999999,3599939.02619000,18110,578386.22000000,1731220.92528000,0
1759161600000000,2.86000000,2.94600000,2.76000000,2.78800000,740081.34000000,1759165199999999,2102530.83538000,12064,408489.67000000,1164209.62514000,0
1759165200000000,2.78800000,2.91900000,2.71000000,2.89500000,839184.91000000,1759168799999999,2357358.38013000,13789,422243.82000000,1185836.60296000,0
1759168800000000,2.89500000,2.91600000,2.80800000,2.86000000,516595.90000000,1759172399999999,1477823.49640000,9248,248041.48000000,709906.99417000,0
1759172400000000,2.85900000,2.98400000,2.84600000,2.93100000,450556.90000000,1759175999999999,1321369.06725000,8851,238428.58000000,699816.46266000,0
1759176000000000,2.93200000,3.04400000,2.92300000,2.94900000,387185.13000000,1759179599999999,1155124.75204000,8193,182473.88000000,544529.12067000,0
1759179600000000,2.94700000,2.97800000,2.91700000,2.92400000,276256.97000000,1759183199999999,813006.69021000,6125,132139.96000000,389248.36502000,0
1759183200000000,2.92500000,2.92900000,2.87600000,2.91400000,251634.24000000,1759186799999999,730846.41215000,5813,115082.54000000,334489.01609000,0
1759186800000000,2.91400000,2.92400000,2.86700000,2.88500000,188466.33000000,1759190399999999,545045.99028000,4979,88422.97000000,255655.71776000,0
1759190400000000,2.88500000,2.90400000,2.74600000,2.75300000,318945.68000000,1759193999999999,899933.50783000,7835,138550.62000000,391546.57075000,0
1759194000000000,2.75200000,2.75900000,2.65600000,2.68700000,342612.83000000,1759197599999999,930940.73597000,7892,137271.13000000,372915.93626000,0
1759197600000000,2.68800000,2.74100000,2.62800000,2.71100000,527700.52000000,1759201199999999,1415414.59947000,10469,289362.57000000,776849.50933000,0
1759201200000000,2.70900000,2.72700000,2.66100000,2.67800000,379148.37000000,1759204799999999,1021933.55847000,7590,217002.11000000,584982.60339000,0
1759204800000000,2.67800000,2.72700000,2.62900000,2.65400000,285844.09000000,1759208399999999,769518.79994000,5845,158817.85000000,427755.54156000,0
1759208400000000,2.65400000,2.78000000,2.65300000,2.76400000,416714.13000000,1759211999999999,1139610.74249000,8808,217697.05000000,595320.11946000,0
1759212000000000,2.76500000,2.76600000,2.67000000,2.69500000,352485.20000000,1759215599999999,956656.25543000,6444,160357.96000000,435092.90236000,0
1759215600000000,2.69500000,2.70700000,2.63000000,2.66600000,325424.88000000,1759219199999999,866574.00946000,6321,185456.26000000,493541.87657000,0
1759219200000000,2.66700000,2.80000000,2.66500000,2.74200000,448782.33000000,1759222799999999,1229869.36738000,8710,228699.33000000,626661.73899000,0
1759222800000000,2.74300000,2.75700000,2.66300000,2.68300000,356292.70000000,1759226399999999,966550.72972000,6075,147661.33000000,400603.76342000,0
